k,silhouette,calinski_harabasz,davies_bouldin,inertia
2,0.2659501868508558,992.5234460811961,1.4259847547530402,22.603214061512343
3,0.2711872173499502,984.8830890898968,1.2563040224538735,17.65604810411912
4,0.24424400837816534,846.0184386004807,1.3135865257213277,15.660282227040277
5,0.22460653491421845,794.1682134239302,1.320813239555189,13.894008415498401
6,0.20704504017593844,756.3048803081678,1.3416906816509995,12.552110442492793
7,0.2193813241836061,731.9967522147156,1.2409689665259989,11.436358033931977
8,0.20889871318825118,700.2007540365863,1.2443109284626312,10.645638263844544
9,0.20600419294546204,668.2175349582376,1.2856291884518043,10.03936984592416
10,0.2015531766623122,637.2043063786954,1.266346127804591,9.561833961521742
